식비,일반음식점,식품자동판매기업,위탁급식영업,,,,,,,,,,,,,
편의점/마트,식품소분업,대규모점포,식품판매업(기타),담배소매업,,,,,,,,,,,,
카페/간식,제과점영업,즉석판매제조가공업,휴게음식점,,,,,,,,,,,,,
여행/숙박,종합휴양업,숙박업,일반여행업,관광숙박업,국내여행업,국외여행업,일반야영장업,종합여행업,자동차야영장업,,,,,,,
교육,,,,,,,,,,,,,,,,
주거/통신,,,,,,,,,,,,,,,,
생활,목욕장업,미용업,세탁업,안경업,이용업,,,,,,,,,,,
교통,석유판매업,,,,,,,,,,,,,,,
의료/건강,건강기능식품일반판매업,의료기기판매(임대)업,의원,약국,의료기기수리업,의료법인,병원,산후조리업,부속의료기관,,,,,,,
문화/여가,노래연습장업,공연장,영화상영업,영화상영관,한옥체험업,지방문화원,"박물관, 미술관",일반게임제공업,청소년게임제공업,유원시설업(기타),썰매장업,일반유원시설업,빙상장업,당구장업,전통사찰,복합유통게임제공업
운동,체육도장업,체력단련장업,종합체육시설업,골프연습장업,수영장업,무도학원업,등록체육시설업,,,,,,,,,
온라인 쇼핑,,,,,,,,,,,,,,,,
배달 음식,,,,,,,,,,,,,,,,
반려동물,동물용의료용구판매업,동물약국,동물판매업,동물병원,동물용의약품도매상,,,,,,,,,,,
기타,,,,,,,,,,,,,,,,
