식비,마켓컬리,떠리몰,로쏘주식회사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
편의점/마트,다이소아성산업,노브랜드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카페/간식,스타벅스,탐앤탐스,빽다방,그린브라우니,하이테이블,투썸플레이스,할리스,아임일리터 ,풀바셋,메가MGC커피,디저트39,바나프레소 ,엔제리너스,요거프레소,이디야,카페베네,컴포즈커피,투썸플레이스,할리스,던킨,파스쿠찌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여행/숙박,대한항공,아시아나항공,티웨이항공,에어서울,에어부산,이스타항공,진에어,제주항공,여기어때,야놀자,호텔스닷컴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육,YES24,알라딘,인터파크,교보문고,반디앤루니스,영풍문고,인프랩,시험원서접수,한국산업인력공단,EBS 중학사이트,밀크T,엠베스트(메가스터디 중등부문),개념원리,온리원(비상교육 운영),강남구청 인터넷 수능방송,EBSi,대성마이맥,메가스터디,이투스,개념원리,오르비 클래스,영단기,디쉐어,ECK교육,시원스쿨,나무경영아카데미,우리경영아카데미,스마트경영아카데미,미래경영아카데미,해커스경영아카데미,메가로스쿨,해커스로스쿨,상상로스쿨,자단기,공단기,노무사단기,독한공무원,메가공무원,박문각고시학원,박문각 노무사,시나공,에듀윌,하우패스,해커스 공무원,KG패스원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주거/통신,취득세,등록면허세,레저세,담배소비세,지방소비세,주민세,지방소득세,재산세,자동차세,지역자원 시설제,지방교육세,종합부동산세,증권거래세,부당이득세,인지세,전기세,한국전력공사,수도세,도시가스,종합소득세,CNCITY에너지,스마텔,LG헬로비전(헬로모바일),KB국민은행(KB리브모바일),니즈텔레콤(니즈모바일),세종텔레콤(스노우맨),아이즈비전(아이즈모바일),앤알커뮤니케이션(앤텔레콤),에넥스텔레콤(A모바일),에스원(에스원 안심모바일),에이프러스(아시아모바일),와이엘랜드(여유텔레콤),유니컴즈(Mobing),위너스텔(WELL),코드모바일(이지모바일) ,큰사람커넥트(이야기모바일),토스모바일,ACN코리아(플래쉬모바일),프리텔레콤·인스코비(프리티),KCT 한국케이블텔레콤(티플러스),SK텔레콤,에스케이텔레콤,SKTelecom,SK텔링크(SK세븐모바일),KT,케이티,KT M모바일,KT스카이라이프(스카이라이프 모바일),드림라인(드림모바일),미니게이트(M2모바일),스테이지파이브(핀다이렉트),씨엔커뮤니케이션(WMVNO),더피엔엘(퍼스트모바일),포인트파크(포인트플러스모바일),고고팩토리(고고모바일),LG U+,LGUplus,LG유플러스,미디어로그(U+유모바일),레그원(온국민폰),조이텔(JOYTEL),엔티온텔레콤,KCTV제주방송,남인천방송(mfun),금강방송(KCN알뜰폰),인스코리아(인스모바일),한국피엠오(밸류컴),와이드모바일(도시락모바일),씨케이커뮤스트리 (슈가모바일),KG모빌리언스 (KG모바일),(주)마블프로듀스 (마블링),에르엘모바일,사람과연결,SL리테일(셀모바일),코나아이(모나),핀샷(코인샷),한패스인터내셔널(한패스모바일),아파트관리비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
생활,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교통,전국고속버스운송사업조합,한국도로공사,티머니대전버스,티머니대전지하철,고속도로,순환도로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료/건강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문화/여가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온라인 쇼핑,옥션,G마켓,11번가,인터파크,네이버 스마트스토어,네이버쇼핑,신세계몰,SSG.COM,위메프,티몬,쿠팡,반품마켓,중고나라,번개장터,당근,세컨웨어,크림,디에프디,무신사,힙합퍼,브랜디,스타일쉐어,29CM,코디북,스타일닷컴,지그재그,룩핀,하이버,카카오스타일,다잇,45번가,갠소,고고싱,그녀희제,그레이시크,금찌,나나살롱,데이블링,데일리룩,도드리,딘트,라걸,라이크유,러브패리스,레미떼,룸페커,리린,리지랄,마이더스비,마지아룩,메이뜰,메이블루,메이비베이비,모니카룸,모코블링,미스캔디,민스샵,베니토,쉬즈미스,스타일난다,슬로우앤드,시크라인,시크릿라벨,시크폭스,시크헤라,써니11,썸제이,아나이스,아뜨랑스,안나앤모드,안나앤플러스,안나키즈,앙시코코,윙스몰,유리플,육육걸즈,제이스타일,츄,클릭앤퍼니,파인땡큐,패션풀,폴앤,프로스트제이,프롬비기닝,플라이모델,피핀,핑크시슬리,핫핑,헤이즐모드,STL,단스킨,스컬피그,젝시믹스,러블리슈즈,보가,사뿐,잇슈,제니아,핑크코끼리,도나앤디,러블링,윙블링,나나상점,아마존닷컴,eBay,타오바오,알리익스프레스,스트로베리넷,큐텐,엔에이치엔케이씨피㈜,더블유컨셉코리아,카카오선물하기,카카오페이,삼성닷컴,컴퓨존,샵다나와,아이코다,아싸컴,조이젠,아이티엔조이,컴스클럽,피씨포올,"가이드컴(구, 이지가이드)",오마이PC,컴퓨터코리아,피씨패밀리,다이조아,오버시스템,하이마트,전자랜드,세티즌,슈퍼커패시터주노
배달 음식,배달의민족,배달요기요,쿠팡이츠,두잇,땡겨요,배달특급,먹깨비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반려동물,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
